sample-id	forward-absolute-filepath	reverse-absolute-filepath
a1_1_01	/home/ubuntu/raw/Fwd_06-Rev_01_R1.fastq	/home/ubuntu/raw/Fwd_06-Rev_01_R2.fastq
a1_1_02	/home/ubuntu/raw/Fwd_06-Rev_02_R1.fastq	/home/ubuntu/raw/Fwd_06-Rev_02_R2.fastq
a1_1_03	/home/ubuntu/raw/Fwd_06-Rev_04_R1.fastq	/home/ubuntu/raw/Fwd_06-Rev_04_R2.fastq
a1_1_04	/home/ubuntu/raw/Fwd_06-Rev_05_R1.fastq	/home/ubuntu/raw/Fwd_06-Rev_05_R2.fastq
a1_1_05	/home/ubuntu/raw/Fwd_06-Rev_06_R1.fastq	/home/ubuntu/raw/Fwd_06-Rev_06_R2.fastq
a1_2_01	/home/ubuntu/raw/Fwd_02-Rev_07_R1.fastq	/home/ubuntu/raw/Fwd_02-Rev_07_R2.fastq
a1_2_02	/home/ubuntu/raw/Fwd_03-Rev_04_R1.fastq	/home/ubuntu/raw/Fwd_03-Rev_04_R2.fastq
a1_2_03	/home/ubuntu/raw/Fwd_04-Rev_11_R1.fastq	/home/ubuntu/raw/Fwd_04-Rev_11_R2.fastq
a1_2_04	/home/ubuntu/raw/Fwd_05-Rev_06_R1.fastq	/home/ubuntu/raw/Fwd_05-Rev_06_R2.fastq
a1_2_05	/home/ubuntu/raw/Fwd_05-Rev_07_R1.fastq	/home/ubuntu/raw/Fwd_05-Rev_07_R2.fastq
a4_1_01	/home/ubuntu/raw/Fwd_07-Rev_07_R1.fastq	/home/ubuntu/raw/Fwd_07-Rev_07_R2.fastq
a4_1_02	/home/ubuntu/raw/Fwd_07-Rev_08_R1.fastq	/home/ubuntu/raw/Fwd_07-Rev_08_R2.fastq
a4_1_03	/home/ubuntu/raw/Fwd_07-Rev_09_R1.fastq	/home/ubuntu/raw/Fwd_07-Rev_09_R2.fastq
a4_1_04	/home/ubuntu/raw/Fwd_07-Rev_11_R1.fastq	/home/ubuntu/raw/Fwd_07-Rev_11_R2.fastq
a4_1_05	/home/ubuntu/raw/Fwd_07-Rev_12_R1.fastq	/home/ubuntu/raw/Fwd_07-Rev_12_R2.fastq
a4_2_01	/home/ubuntu/raw/Fwd_01-Rev_11_R1.fastq	/home/ubuntu/raw/Fwd_01-Rev_11_R2.fastq
a4_2_02	/home/ubuntu/raw/Fwd_02-Rev_13_R1.fastq	/home/ubuntu/raw/Fwd_02-Rev_13_R2.fastq
a4_2_03	/home/ubuntu/raw/Fwd_03-Rev_09_R1.fastq	/home/ubuntu/raw/Fwd_03-Rev_09_R2.fastq
a4_2_04	/home/ubuntu/raw/Fwd_03-Rev_13_R1.fastq	/home/ubuntu/raw/Fwd_03-Rev_13_R2.fastq
a4_2_05	/home/ubuntu/raw/Fwd_05-Rev_11_R1.fastq	/home/ubuntu/raw/Fwd_05-Rev_11_R2.fastq
con1	/home/ubuntu/raw/Fwd_04-Rev_25_R1.fastq	/home/ubuntu/raw/Fwd_04-Rev_25_R2.fastq
con2	/home/ubuntu/raw/Fwd_04-Rev_27_R1.fastq	/home/ubuntu/raw/Fwd_04-Rev_27_R2.fastq
con3	/home/ubuntu/raw/Fwd_04-Rev_28_R1.fastq	/home/ubuntu/raw/Fwd_04-Rev_28_R2.fastq
