	a1_1_01	a1_1_02	a1_1_03	a1_1_04	a1_1_05	a1_2_01	a1_2_02	a1_2_03	a1_2_04	a1_2_05	a4_1_01	a4_1_02	a4_1_03	a4_1_04	a4_1_05	a4_2_01	a4_2_02	a4_2_03	a4_2_04	a4_2_05	con1	con2	con3
3a923ceadde4506328d0e352a3027a75	27	46	40	42	45	83	98	76	0	47	62	21	19	23	79	462	290	33	27	10	0	0	0
8c7d9b2e2bccc4eb3aa575c964e27158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
8fcfb6bd89382ab68cc18226b05d7cdd	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0
dd5a59afc2cff7f8e78604872e07bcab	52	29	257	0	15	18	202	43	24	11	0	0	0	0	0	0	0	140	0	18	0	0	0
4c22be7908a02235df4ca73a4b470626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
c4a284a4802526b8d13df9402c91d32b	242	0	0	7	12	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
b222fee3b1b5497222852d4f1e79713b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
d506c43c84f7ec0c561c0a425e99fa83	60	31	23	144	90	0	0	28	0	36	66	63	177	170	170	47	571	0	0	26	0	118	64
00dc53666c2365448021417f36df12c7	0	0	0	0	0	0	0	0	0	0	3	5	4	0	0	0	0	0	0	0	0	0	0
6e167443324453f67c7d2baa71efcae1	0	0	0	0	4	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
18dc0f205ea1bd411d38d4da7c881750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
71df4ac3e58958b788c4f2ce6dceecd1	24	38	0	0	0	0	0	44	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
1d76e477fa5e26b2607547244aeb514d	80	73	58	179	94	0	15	0	0	13	175	114	31	21	12	17	0	0	0	7	0	0	0
b51021695644a82911718bc115ee3aaa	0	47	24	0	0	0	0	56	0	17	0	0	0	0	0	94	0	25	0	0	0	0	0
2832a0bcf6ae6d1d6c9e67822301c207	44	118	271	35	0	0	0	0	7	0	97	112	58	42	0	0	0	0	0	0	0	0	0
6ed2b0b5a1e3e9de62608d2feb43b790	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0
a13e7e07ecfc46d277fddc785977fba3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
1bd067cdc811a32e74f74c6506a82932	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
e82296843639d9044e7f161d5628873e	1135	2159	7	34	13	0	0	0	0	0	0	0	15	23	0	0	0	0	0	0	0	0	0
510f5387eeff0aa888d07a38253c50ea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
3095a76b128713e5d113f635e336d1c0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e17939d81996efda3489204b13b510c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244
c533adcdca0b3dd7de5de2844bd522b5	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6d74940ef9190fccf501134156ac7f98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
5c5a977be958c68fd187e9ed790589a7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
3067a020322674dc3d6247b83ffa89a0	0	0	0	0	0	199	0	0	0	509	0	75	0	0	0	0	68	142	147	1749	0	0	0
1ea842744639f7cd6468a2a422af90a7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
f380e6f4c11cc284c9a0072f92d57777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0
0eeda2dcbee4bbb2d4544e1847666ea2	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5228aabd326e30c75915922987dbc1cf	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0
0e1d230e0d69495267466132508f9361	8	72	106	16	7	252	0	0	0	40	24	14	14	26	0	0	21	0	8	0	0	0	0
ae3fc4143801199d16267e2ec2d57f4b	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227d52e88077e8379fb076101a33eb3f	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
23e4dc920ecf5260d5d27e937f745f96	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4b5a0888230a2f16586b9ef51b73ebcf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	25
7d002daa5238f63e93fbeff1487c3868	26	23	45	143	34	176	58	114	54	39	11	0	113	66	10	11	68	94	0	0	0	0	0
8aa181ec01fa6abe3943da07bbb9f926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
78f52184ef7212f1e139ca1553ac752c	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56330b2977182b42093711cb90a3b065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
e28d30c3ecf9ecf9d63f7f2983fa911d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
fb31e46e931f593111362f59f713cf39	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0
fe453302317e9fc20153f931a54835f8	0	0	19	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
cf31fba92d58b405c3d8bce24bc4678f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
