062b090c083845612e0ed7dc400c9106	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Myxococcales	D_4__Nannocystaceae		
e3c9fb8d8e882e9f6d98ff1d7c32f03f	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae		
324499b03d46622141270fc634500ef1	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae		
007861cf4357c84116e647b68ab1bf30	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae	D_5__Micrococcus	
ab16548aa6887db45c3b0c3c970c88ba	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	
5726619608b84ee3018c815204cdff7a	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
682e5342211c704576db92e0bb567c8e	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Oligoflexales	D_4__Oligoflexaceae		
036c25714c3a550c732bb3fb065c2637	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Cupriavidus	
e0cc6a95596c1068ec99eb67cea8d93e	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Marinobacteraceae	D_5__Marinobacter	
e82296843639d9044e7f161d5628873e	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Simkaniaceae		
77cd18f21765bf8edab2287e1498809f	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	D_6__Alteromonas halophila
2e371beb95bfbb6eb92ccd5987360ca4	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Stappiaceae	D_5__Labrenzia	
0142e3efbe4c804a7b44f9ddbfc319a6	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Thalassobius	
107e04ddc4519998efd0c7f0d4a3c619	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Saprospiraceae		
3067a020322674dc3d6247b83ffa89a0	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	D_6__Alteromonas halophila
b727d59663cdd78bfa2131b90dd7b8ac	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
29e58ca9bdd079d531e2aed3eb1e413a	D_0__Bacteria	D_1__Spirochaetes	D_2__Spirochaetia	D_3__Spirochaetales	D_4__Spirochaetaceae	D_5__Spirochaeta 2	
cfe66360a7df8328fe6336e9b8b4503a	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Methylophilaceae	D_5__OM43 clade	
1095368a251dc3880e91650081c8885b	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
b795f2a86a9995ec9228faeab179c415	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
5f303d5361eaea06168f2dd3aae55a2f	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Propionibacteriales	D_4__Propionibacteriaceae	D_5__Cutibacterium	
78cfa7640273ecfa85ac68a5aa8bc78c	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Tropicibacter	D_6__Tropicibacter multivorans
af1fede73a8c5dee69bcd469b7a3fe4b	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Halomonadaceae	D_5__Oceanospirillum	
b96fde782b164fc827853ef696f4551f	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Leisingera	
d506c43c84f7ec0c561c0a425e99fa83	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Marinobacteraceae	D_5__Marinobacter	
72b534e7f9aee17f9ef904f3abfd8e46	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	
409c4297b9e1d103aeb703e7f4cffa41	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Alteromonas	
66d339eef55eb8c441e5155da4e8236a	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Methylophilaceae	D_5__Methylotenera	
